tmin,tmax,tavg,humidity,speed,pressure
1.9,-2.8,-0.8,93.7,8.0,1015.0
8.2,-1.3,4.5,93.5,14.1,1010.2
8.9,2.9,5.5,89.0,14.4,1013.2
7.5,2.3,5.2,77.8,22.9,1006.8
6.3,1.3,3.4,81.5,25.3,997.4
4.5,1.1,2.7,90.7,17.6,985.7
3.5,-1.3,1.0,88.8,16.6,1009.0
4.0,-0.1,2.2,93.3,12.1,1006.9
4.1,0.6,2.2,94.0,10.1,1015.6
3.4,-0.5,1.0,92.1,9.0,1020.6
4.6,0.4,2.3,92.9,11.6,1026.2
6.8,2.1,4.8,91.1,18.7,1020.5
7.4,0.8,3.7,82.3,26.7,1005.9
2.6,-1.1,0.4,82.0,22.7,1007.4
0.2,-3.2,-1.6,81.4,19.8,1014.6
-1.1,-5.3,-2.9,88.7,10.8,1021.9
-0.7,-5.0,-2.2,92.8,7.7,1021.8
0.3,-5.3,-2.6,92.5,5.7,1025.9
2.1,-3.4,-0.1,91.6,14.4,1017.1
3.1,-0.6,1.5,91.5,17.0,1004.0
2.5,-0.9,0.3,93.7,11.7,1007.5
2.8,-1.0,0.7,93.8,15.1,997.8
3.0,-0.2,1.3,91.5,15.4,1000.9
1.7,-2.2,-0.4,91.7,9.3,1011.7
0.7,-3.9,-1.6,92.0,6.4,1021.3
-0.1,-6.0,-3.2,91.2,6.5,1026.5
-2.3,-11.0,-7.4,81.0,12.1,1031.1
-5.7,-12.3,-9.7,78.2,11.3,1034.3
-4.8,-12.7,-9.4,72.8,12.1,1037.7
-5.1,-14.5,-10.3,67.2,11.8,1041.0
-6.7,-15.5,-11.6,74.3,11.6,1040.1
-7.0,-16.9,-12.7,72.8,10.3,1038.5
-10.4,-19.9,-15.7,77.3,7.0,1037.9
-12.3,-21.7,-17.3,77.7,3.3,1036.4
-11.7,-21.2,-16.0,78.5,2.0,1038.4
-11.4,-20.8,-15.4,77.8,5.7,1038.2
-12.1,-20.8,-16.8,75.0,6.7,1038.9
-8.6,-18.8,-12.8,79.2,9.8,1037.3
-5.8,-14.2,-9.7,77.8,9.0,1041.0
-5.5,-13.2,-8.8,79.3,5.3,1034.5
-7.2,-17.8,-12.7,80.3,8.7,1038.8
-8.4,-20.3,-14.5,79.0,2.8,1039.1
-7.4,-20.1,-13.8,77.3,3.0,1033.7
-4.4,-16.8,-9.1,79.4,7.4,1023.5
-2.4,-10.1,-5.6,84.8,3.6,1017.1
-1.1,-8.2,-4.0,86.1,13.8,998.6
-1.0,-5.3,-3.3,89.2,14.2,1003.5
-0.2,-7.9,-4.3,90.0,7.9,1015.6
2.1,-4.5,0.3,92.1,12.3,1014.2
3.4,-1.0,1.2,88.9,13.4,1012.1
3.2,-1.3,0.9,86.2,15.5,1020.3
2.3,-4.7,-1.3,79.2,14.4,1029.1
4.3,-3.2,1.8,88.0,16.5,1025.4
5.7,1.1,3.5,87.6,21.6,1015.8
7.9,2.3,5.0,90.2,23.2,1011.1
8.4,3.0,5.5,81.3,29.2,1008.9
5.3,-0.4,2.3,80.3,22.5,1009.7
2.2,-4.0,-1.3,76.5,16.1,1019.6
2.4,-6.0,-1.6,83.6,7.3,1019.1
6.8,-2.4,3.8,93.8,16.1,1012.3
7.8,1.9,4.7,91.8,9.2,1020.9
7.5,3.1,5.8,92.2,17.1,1020.0
6.5,-2.0,1.8,76.3,15.6,1025.7
5.7,-4.5,0.1,75.8,7.6,1027.8
3.4,-5.8,-1.5,69.6,5.9,1025.6
2.7,-6.5,-2.2,65.9,8.9,1027.1
0.2,-7.7,-3.7,67.5,3.1,1031.5
3.1,-7.4,-2.2,64.9,10.3,1021.7
4.7,-4.6,-0.0,82.9,5.1,1029.2
7.0,-2.6,2.5,82.0,11.1,1032.2
7.6,0.9,5.1,81.6,21.5,1021.2
7.0,-0.3,3.1,77.4,15.9,1020.3
7.5,1.5,4.8,91.9,13.6,1022.7
7.7,3.2,5.2,85.7,16.8,1023.4
6.9,-1.6,2.4,83.3,11.9,1027.8
12.6,-1.4,4.5,78.7,8.7,1025.6
18.0,0.4,8.1,68.6,9.0,1019.1
18.6,2.1,9.5,66.3,8.8,1015.2
16.1,3.4,9.0,70.5,15.3,1015.3
9.9,0.3,4.7,67.8,19.0,1027.5
11.4,2.4,8.1,71.2,19.3,1029.7
12.9,4.8,8.7,82.4,12.4,1032.0
14.6,1.8,7.6,81.4,8.1,1028.9
15.2,-0.1,7.5,75.1,5.3,1026.4
14.4,0.7,7.2,71.8,11.8,1023.5
12.9,-1.8,4.5,69.5,15.1,1029.7
12.9,0.6,6.9,63.2,16.4,1026.1
12.9,0.6,6.9,63.2,16.4,1026.1
15.4,2.8,8.6,67.8,16.8,1022.2
16.5,5.0,10.3,61.1,26.8,1009.3
9.3,2.2,5.0,80.6,18.7,1004.0
8.5,1.7,4.8,84.1,20.7,998.0
6.3,-0.6,1.5,80.5,21.2,1004.2
6.6,-0.1,3.3,69.9,23.5,1003.5
8.3,-0.2,3.6,69.0,11.2,1008.0
11.8,1.6,6.0,78.4,9.2,1008.3
12.2,1.5,5.4,82.9,8.4,1014.3
7.5,-0.9,3.0,78.5,4.4,1015.1
8.8,0.9,4.4,81.3,9.2,1002.9
7.0,-0.6,2.1,78.7,16.8,1002.0
6.3,-4.8,0.2,62.3,9.4,1011.2
11.7,-2.0,4.5,48.4,13.5,1008.5
15.1,2.7,9.3,45.6,15.1,1002.7
16.2,4.9,10.2,62.6,3.7,1000.2
13.3,4.1,7.7,82.7,10.3,1002.0
12.3,2.6,7.3,79.1,4.5,1004.7
12.6,3.7,8.0,79.4,13.8,1004.7
10.4,5.1,7.6,88.3,15.8,1004.2
8.8,1.2,4.8,73.1,16.4,1010.9
11.0,-0.6,4.7,62.0,6.7,1008.1
12.9,3.3,8.5,68.4,10.2,1000.1
15.1,4.6,9.2,82.1,3.5,996.1
17.1,4.6,10.4,75.8,4.0,1000.6
17.1,4.8,10.6,75.6,7.7,1004.4
16.2,4.0,9.4,73.2,8.1,1007.2
15.9,4.1,9.5,71.2,10.8,1005.9
16.9,7.8,11.8,72.2,14.8,1002.1
20.6,4.6,11.2,64.8,12.1,1010.3
23.4,8.6,16.2,54.0,10.7,1015.1
26.0,9.9,17.9,56.6,6.2,1019.9
27.1,12.0,20.2,50.1,11.3,1015.9
26.5,11.3,19.2,51.6,6.7,1012.8
26.4,9.9,18.2,60.4,3.3,1016.8
25.8,10.5,17.8,57.1,8.6,1017.1
24.6,9.4,17.0,61.5,5.9,1011.7
23.8,11.0,16.3,73.0,3.7,1005.6
21.3,9.7,14.7,77.6,8.4,1003.8
20.0,7.7,12.8,74.2,4.0,1006.7
15.8,5.1,8.5,82.2,7.3,1014.8
14.7,3.2,8.1,77.2,3.0,1020.6
19.3,5.7,12.0,69.1,8.6,1019.5
23.8,9.7,16.5,67.8,8.3,1020.8
26.6,14.0,20.5,61.7,11.2,1021.0
27.4,9.7,17.4,70.1,14.1,1019.5
15.2,4.7,8.4,74.9,14.5,1025.6
13.7,2.8,8.1,77.2,4.0,1024.8
15.0,7.1,11.0,64.1,7.6,1016.6
14.2,7.6,10.5,80.4,1.8,1009.5
12.3,5.2,8.5,76.9,18.7,1014.3
13.8,1.1,7.6,66.9,8.0,1019.2
19.2,5.4,11.8,61.4,10.0,1019.4
24.1,9.2,16.5,63.7,9.4,1015.9
26.3,13.5,20.2,62.9,11.8,1010.9
27.6,14.8,21.6,61.2,11.0,1009.3
27.4,13.5,20.9,60.9,12.1,1014.2
25.8,12.1,17.6,67.2,14.7,1021.7
20.2,7.8,14.4,58.6,14.1,1026.1
19.3,6.5,13.8,59.4,10.2,1023.9
19.8,7.6,14.1,62.8,7.9,1021.4
20.7,7.5,14.2,67.0,5.1,1015.3
21.9,9.1,15.8,63.3,7.8,1009.7
20.4,8.3,13.4,62.2,10.5,1013.1
16.8,7.8,12.4,66.8,9.4,1015.9
16.8,9.4,12.6,79.3,9.6,1009.3
14.6,6.6,10.0,70.0,21.2,1008.9
15.6,5.0,9.9,67.0,13.8,1011.0
16.8,9.1,12.8,79.1,6.4,1007.5
15.7,8.6,12.1,83.3,3.9,1010.2
15.4,6.9,11.2,78.2,8.8,1014.0
18.6,9.6,13.7,72.1,3.2,1010.4
22.3,12.2,16.8,75.1,6.1,1007.6
24.4,13.4,18.5,77.3,8.3,1010.2
22.4,10.6,16.6,74.5,5.2,1012.5
21.9,11.5,15.9,79.1,3.7,1006.5
20.5,10.5,15.2,79.2,1.4,1004.8
21.3,12.3,16.3,81.9,3.3,1003.5
19.7,11.4,14.7,85.4,7.5,1013.0
18.1,10.4,13.5,74.3,7.5,1020.7
25.2,10.3,16.5,68.5,8.2,1019.9
26.8,15.3,20.7,71.2,10.7,1017.9
27.1,13.1,19.7,70.3,3.7,1021.9
28.6,15.7,21.9,69.3,9.2,1017.4
23.5,13.7,18.1,76.0,5.9,1019.2
22.3,15.1,18.1,85.9,6.3,1013.2
21.6,15.2,17.6,90.6,5.2,1011.9
22.0,11.8,16.9,77.8,10.2,1019.4
23.4,10.9,17.6,66.8,6.2,1020.7
23.9,13.4,18.0,69.9,15.3,1009.4
18.5,11.3,14.0,79.7,19.2,1009.8
17.8,11.2,13.9,74.2,18.6,1015.7
19.6,10.7,15.1,75.4,9.5,1014.1
24.7,11.4,17.4,75.3,3.2,1014.7
28.6,15.6,22.0,67.7,7.9,1013.8
29.6,17.7,23.3,73.1,6.1,1014.3
29.7,16.5,21.8,74.8,6.2,1018.1
26.2,16.8,20.9,77.5,7.7,1019.0
26.1,16.6,20.7,83.0,3.5,1016.4
27.0,16.4,20.9,82.5,4.1,1015.0
29.7,17.9,23.7,73.9,8.0,1012.2
30.8,17.8,23.5,73.4,2.6,1012.0
28.5,17.2,21.9,78.5,5.9,1011.5
27.0,16.6,21.7,75.0,7.7,1010.0
25.7,14.6,20.3,70.5,8.4,1012.1
25.9,14.1,20.2,70.5,6.4,1012.6
